job_id,external_job_id,company,title,location,canonical_url,department,source_key,retrieved_at
microsoft:1970393556961262,1970393556961262,Microsoft,Senior Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556961262,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556960709,1970393556960709,Microsoft,Principal Product Manager- Early Adoption,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556960709,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556971850,1970393556971850,Microsoft,Senior Product Manager,"India, Telangana, Hyderabad",https://apply.careers.microsoft.com/careers/job/1970393556971850,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556971845,1970393556971845,Microsoft,Principal Product Manager,"India, Telangana, Hyderabad",https://apply.careers.microsoft.com/careers/job/1970393556971845,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556962532,1970393556962532,Microsoft,Senior Product Manager,"India, Karnataka, Bangalore",https://apply.careers.microsoft.com/careers/job/1970393556962532,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556957770,1970393556957770,Microsoft,Senior Product Manager,"United States, Washington, Redmond | United States, Oregon, Hillsboro | United States, California, Mountain View | United States, Texas, Austin",https://apply.careers.microsoft.com/careers/job/1970393556957770,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556958196,1970393556958196,Microsoft,Senior Product Manager,"United States, Multiple Locations, Multiple Locations",https://apply.careers.microsoft.com/careers/job/1970393556958196,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556956249,1970393556956249,Microsoft,"Senior Product Manager, AI Experiences","United States, Washington, Redmond | United States, New York, New York",https://apply.careers.microsoft.com/careers/job/1970393556956249,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556955501,1970393556955501,Microsoft,"Principal Product Manager, Content Product","United States, California, Mountain View | United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556955501,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556860577,1970393556860577,Microsoft,"Principal Product Manager, Data Science & Market Research","United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556860577,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556944352,1970393556944352,Microsoft,Principal Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556944352,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556942026,1970393556942026,Microsoft,Senior and Principal Product Manager- Windows Client Core Team (Multiple Positions),"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556942026,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556859707,1970393556859707,Microsoft,Principal Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556859707,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556859131,1970393556859131,Microsoft,Product Manager- Agentic Platform,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556859131,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556885224,1970393556885224,Microsoft,Senior Product Manager,"United States, Washington, Redmond | United States, California, Mountain View",https://apply.careers.microsoft.com/careers/job/1970393556885224,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556875687,1970393556875687,Microsoft,Product Manager II - Microsoft Foundry,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556875687,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556859132,1970393556859132,Microsoft,Principal Product Manager,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556859132,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
